,Gia,Nha_ve_sinh,So_phong,Huong,Chieu_dai,Rong,Giay_to,Dien_tich,Dien_tich_su_dung,Hem_rong,Duong_mat_tien,Duong,Phuong,Quan,So_lau,Tang_thuong,Gac_lung,Tang_ham,Gan_cho,Gan_truong,Gan_congvien,Gan_mat_tien,Di_chuyen,Thoang,an_ninh,2_duong_chinh,2_hem,binned
0,3700,4,3,Đ.Bắc,20.71,5.0,Sổ hồng,104.5,134.7,5.0,0,ấp thới tây 2,Xã Tân Hiệp,Huyện Hóc Môn,1,0,0,0,1,1,1,1,1,1,1,0,0,"(900.0, 4000.0]"
1,3800,2,2,Đ.Bắc,14.35,5.0,Sổ hồng,71.8,137.6,5.0,0,huỳnh tấn phát,Xã Phú Xuân,Huyện Nhà Bè,1,0,0,0,1,1,1,0,1,1,1,0,0,"(900.0, 4000.0]"
2,6500,5,5,T.Nam,10.0,5.2,Sổ hồng,52.1,70.3,5.0,1,lò siêu,Phường 16,Quận 11,2,1,1,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
3,54000,5,4,Đ.Bắc,30.0,12.0,Sổ đỏ,366.2,341.8,12.0,1,an phú,Phường An Phú,Quận 2,2,0,0,0,1,1,1,1,1,1,1,1,1,"(50000.0, 101000.0]"
4,3800,2,2,Bắc,7.81,2.95,Sổ hồng,24.0,48.0,1.5,0,trần quang khải,Phường Tân Định,Quận 1,1,0,0,0,0,0,1,0,1,0,0,0,0,"(900.0, 4000.0]"
5,9800,3,4,Đ.Nam,24.5,5.0,Sổ đỏ,122.5,217.5,6.4,0,huỳnh tấn phát,Phường Tân Phú,Quận 7,2,0,0,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
6,6000,15,15,Đ.Bắc,17.88,4.93,Sổ hồng,88.0,176.3,3.0,0,số 10,Phường Linh Trung,Quận Thủ Đức,2,0,0,0,1,1,1,0,1,0,0,0,0,"(4000.0, 10000.0]"
8,10800,2,3,Đ.Bắc,12.18,3.99,Sổ hồng,47.0,106.6,3.0,0,nguyễn đình chiểu,Phường 5,Quận 3,1,0,0,0,1,1,0,0,1,1,0,0,0,"(10000.0, 20000.0]"
9,11800,2,2,T.Nam,19.0,4.0,Sổ hồng,74.0,157.8,4.0,0,võ oanh,Phường 25,Quận Bình Thạnh,1,0,1,0,1,1,0,1,0,0,0,0,0,"(10000.0, 20000.0]"
10,7700,3,4,Đông,14.3,7.0,Sổ hồng,100.8,145.9,2.5,0,bùi văn ba,Phường Tân Thuận Đông,Quận 7,2,0,0,0,1,0,1,0,1,0,0,0,0,"(4000.0, 10000.0]"
11,3900,2,2,Đ.Nam,10.5,4.15,Sổ hồng,43.6,87.1,3.0,0,phạm văn bạch,Phường 15,Quận Tân Bình,1,0,0,0,1,1,1,0,1,0,0,0,0,"(900.0, 4000.0]"
12,6200,4,3,T.Bắc,10.35,3.7,Sổ hồng,33.2,124.5,2.55,0,bùi văn thêm,Phường 9,Quận Phú Nhuận,2,1,1,0,1,1,1,0,1,1,1,0,0,"(4000.0, 10000.0]"
13,4600,2,3,Nam,8.05,3.5,Sổ đỏ,27.0,46.2,3.11,0,xô viết nghệ tĩnh,Phường 25,Quận Bình Thạnh,1,0,0,0,1,1,1,1,1,1,1,0,0,"(4000.0, 10000.0]"
14,7900,3,4,Đ.Bắc,16.0,5.5,Sổ hồng,88.0,270.0,12.0,1,số 35 - cl,Phường Cát Lái,Quận 2,2,0,0,0,1,1,0,1,0,0,0,0,0,"(4000.0, 10000.0]"
